machine_id,net_in,net_out
m_1932,46.194541353383464,35.643236090225564
m_1933,23.371572798082685,18.912901437986818
m_1934,40.66477236363637,30.650705454545452
m_1935,43.949969325153376,32.64725843558282
m_1947,50.11864288275367,40.45929544639655
m_1948,46.54555505313136,40.94783857110558
m_2079,39.18446674839105,27.345681887833283
m_2080,38.982166906474816,32.74493237410072
m_2081,46.46253153016259,36.168270779516796
m_2082,51.12152134103395,43.47954923228623
m_2083,30.665303370786518,20.348838951310864
m_2084,39.04079653532609,32.44236582880435
m_2085,22.70558691561731,19.441803444782167
m_2086,39.848952702702704,32.248132239382244
m_2087,28.109655239579276,22.838657966497856
m_2088,45.257185765124554,36.65988042704626
m_2089,34.346353111432705,27.556107091172215
m_2090,42.5398084874864,31.932461371055496
m_2091,42.32224846763343,31.936359695021675
m_2092,41.02064053537285,39.300105162523906
m_2093,41.96219596258001,35.01216888232398
m_1949,43.77498484629817,35.70553037956415
m_1950,25.92230769230769,20.55732660781841
m_1951,41.24590974903475,34.496298262548265
m_1952,42.60193874471938,33.94965751357876
m_1953,37.79395498392283,31.07827974276528
m_1954,45.94128796095444,40.52945498915401
m_1955,45.30304266895761,33.9390950744559
m_1956,38.169318181818184,30.529431818181816
m_1957,49.79299425481581,43.30372423115917
m_1958,43.44100534087339,35.1142821237826
m_1959,50.27983611398199,41.9734224125203
m_1960,42.846698615548455,33.401540646077386
m_1961,33.93154013742249,22.541793195910845
m_1936,44.157618374558304,35.25127738515901
m_1962,46.375551084925995,35.92250179623509
m_1963,42.089917113603114,35.934865919063874
m_1964,43.16176357704855,36.92898867779697
m_1965,0.2545664379288833,0.19875233936369305
m_1966,0.3811022776106575,0.30460464116888697
m_1967,34.40639236955302,24.61987095567608
m_1968,34.937065092165895,24.36010512672811
m_1969,36.84315130830489,27.4140614334471
m_1970,41.13390710382513,35.44880757220921
m_1971,0.34512009373169295,0.45016256590509673
m_1972,39.53845006485084,34.517587548638126
m_1973,46.30652040368582,38.26154234313295
m_1974,39.98043317015279,28.465760272956533
m_1975,0.009999999999999998,0.019999999999999997
m_1976,37.84760773351968,29.323601211274166
